API_version,element_type,element_name,element_type_change_type,changed_element_type,changed_element_name,changed_element_modification_type
25,Class,ActivityManager,Changes,Methods,"void setVrThread(int)",Added
25,Class,AudioFormat,Changes,Fields,"int ENCODING_DOLBY_TRUEHD",Added
25,Class,BaseInputConnection,Changes,Methods,"boolean commitContent(InputContentInfo, int, Bundle)",Added
25,Class,Build.VERSION_CODES,Changes,Fields,"int N_MR1",Added
25,Class,Call,Changes,Methods,"void pullExternalCall()",Added
25,Class,Call,Changes,Methods,"void putExtras(Bundle)",Added
25,Class,Call,Changes,Methods,"void removeExtras()",Added
25,Class,Call,Changes,Methods,"void removeExtras(List<String>)",Added
25,Class,Call,Changes,Methods,"void sendCallEvent(String, Bundle)",Added
25,Class,Call,Changes,Fields,"int STATE_PULLING_CALL",Added
25,Class,Call.Callback,Changes,Methods,"void onConnectionEvent(Call, String, Bundle)",Added
25,Class,Call.Details,Changes,Fields,"int CAPABILITY_CAN_PULL_CALL",Added
25,Class,Call.Details,Changes,Fields,"int PROPERTY_HAS_CDMA_VOICE_PRIVACY",Added
25,Class,Call.Details,Changes,Fields,"int PROPERTY_IS_EXTERNAL_CALL",Added
25,Class,CallLog.Calls,Changes,Fields,"int ANSWERED_EXTERNALLY_TYPE",Added
25,Class,CallLog.Calls,Changes,Fields,"int FEATURES_PULLED_EXTERNALLY",Added
25,Class,CarrierConfigManager,Changes,Fields,"String KEY_ALLOW_ADD_CALL_DURING_VIDEO_CALL_BOOL",Added
25,Class,CarrierConfigManager,Changes,Fields,"String KEY_ALLOW_MERGE_WIFI_CALLS_WHEN_VOWIFI_OFF_BOOL",Added
25,Class,CarrierConfigManager,Changes,Fields,"String KEY_DROP_VIDEO_CALL_WHEN_ANSWERING_AUDIO_CALL_BOOL",Added
25,Class,CarrierConfigManager,Changes,Fields,"String KEY_TREAT_DOWNGRADED_VIDEO_CALLS_AS_VIDEO_CALLS_BOOL",Added
25,Class,Conference,Changes,Methods,"int getConnectionProperties()",Added
25,Class,Conference,Changes,Methods,"void onExtrasChanged(Bundle)",Added
25,Class,Conference,Changes,Methods,"void putExtras(Bundle)",Added
25,Class,Conference,Changes,Methods,"void removeExtras()",Added
25,Class,Conference,Changes,Methods,"void removeExtras(List<String>)",Added
25,Class,Conference,Changes,Methods,"void setConnectionProperties(int)",Added
25,Class,Connection,Changes,Methods,"int getConnectionProperties()",Added
25,Class,Connection,Changes,Methods,"void onCallEvent(String, Bundle)",Added
25,Class,Connection,Changes,Methods,"void onExtrasChanged(Bundle)",Added
25,Class,Connection,Changes,Methods,"void onPullExternalCall()",Added
25,Class,Connection,Changes,Methods,"String propertiesToString(int)",Added
25,Class,Connection,Changes,Methods,"void putExtras(Bundle)",Added
25,Class,Connection,Changes,Methods,"void removeExtras()",Added
25,Class,Connection,Changes,Methods,"void removeExtras(List<String>)",Added
