API_version,element_type,element_name,element_type_change_type,changed_element_type,changed_element_name,changed_element_modification_type
18,Class,AbstractAccountAuthenticator,Changes,Methods,"Bundle addAccountFromCredentials(AccountAuthenticatorResponse, Account, Bundle)",Added
18,Class,AbstractAccountAuthenticator,Changes,Methods,"Bundle getAccountCredentialsForCloning(AccountAuthenticatorResponse, Account)",Added
18,Class,AccessibilityNodeInfo,Changes,Methods,"List<AccessibilityNodeInfo> findAccessibilityNodeInfosByViewId(String)",Added
18,Class,AccessibilityNodeInfo,Changes,Methods,"int getTextSelectionEnd()",Added
18,Class,AccessibilityNodeInfo,Changes,Methods,"int getTextSelectionStart()",Added
18,Class,AccessibilityNodeInfo,Changes,Methods,"String getViewIdResourceName()",Added
18,Class,AccessibilityNodeInfo,Changes,Methods,"boolean isEditable()",Added
18,Class,AccessibilityNodeInfo,Changes,Methods,"boolean refresh()",Added
18,Class,AccessibilityNodeInfo,Changes,Methods,"void setEditable(boolean)",Added
18,Class,AccessibilityNodeInfo,Changes,Methods,"void setTextSelection(int, int)",Added
18,Class,AccessibilityNodeInfo,Changes,Methods,"void setViewIdResourceName(String)",Added
18,Class,AccessibilityNodeInfo,Changes,Fields,"String ACTION_ARGUMENT_EXTEND_SELECTION_BOOLEAN",Added
18,Class,AccessibilityNodeInfo,Changes,Fields,"String ACTION_ARGUMENT_SELECTION_END_INT",Added
18,Class,AccessibilityNodeInfo,Changes,Fields,"String ACTION_ARGUMENT_SELECTION_START_INT",Added
18,Class,AccessibilityNodeInfo,Changes,Fields,"int ACTION_COPY",Added
18,Class,AccessibilityNodeInfo,Changes,Fields,"int ACTION_CUT",Added
18,Class,AccessibilityNodeInfo,Changes,Fields,"int ACTION_PASTE",Added
18,Class,AccessibilityNodeInfo,Changes,Fields,"int ACTION_SET_SELECTION",Added
18,Class,AccessibilityService,Changes,Methods,"boolean onKeyEvent(KeyEvent)",Added
18,Class,AccessibilityServiceInfo,Changes,Methods,"String capabilityToString(int)",Added
18,Class,AccessibilityServiceInfo,Changes,Methods,"int getCapabilities()",Added
18,Class,AccessibilityServiceInfo,Changes,Methods,"boolean getCanRetrieveWindowContent() Now deprecated.",Changed
18,Class,AccessibilityServiceInfo,Changes,Fields,"int CAPABILITY_CAN_REQUEST_ENHANCED_WEB_ACCESSIBILITY",Added
18,Class,AccessibilityServiceInfo,Changes,Fields,"int CAPABILITY_CAN_REQUEST_FILTER_KEY_EVENTS",Added
18,Class,AccessibilityServiceInfo,Changes,Fields,"int CAPABILITY_CAN_REQUEST_TOUCH_EXPLORATION",Added
18,Class,AccessibilityServiceInfo,Changes,Fields,"int CAPABILITY_CAN_RETRIEVE_WINDOW_CONTENT",Added
18,Class,AccessibilityServiceInfo,Changes,Fields,"int FLAG_REPORT_VIEW_IDS",Added
18,Class,AccessibilityServiceInfo,Changes,Fields,"int FLAG_REQUEST_ENHANCED_WEB_ACCESSIBILITY",Added
18,Class,AccessibilityServiceInfo,Changes,Fields,"int FLAG_REQUEST_FILTER_KEY_EVENTS",Added
18,Class,AccountManager,Changes,Methods,"Account[] getAccountsByTypeForPackage(String, String)",Added
18,Class,AccountManager,Changes,Fields,"int ERROR_CODE_BAD_AUTHENTICATION",Added
18,Class,ActionBar,Changes,Methods,"void setHomeActionContentDescription(int)",Added
18,Class,ActionBar,Changes,Methods,"void setHomeActionContentDescription(CharSequence)",Added
18,Class,ActionBar,Changes,Methods,"void setHomeAsUpIndicator(Drawable)",Added
18,Class,ActionBar,Changes,Methods,"void setHomeAsUpIndicator(int)",Added
18,Class,Activity,Changes,Methods,"boolean isImmersive()",Added
18,Class,Activity,Changes,Methods,"void onProvideAssistData(Bundle)",Added
18,Class,Activity,Changes,Methods,"void setImmersive(boolean)",Added
18,Class,ActivityInfo,Changes,Fields,"int FLAG_IMMERSIVE",Added
18,Class,ActivityInfo,Changes,Fields,"int SCREEN_ORIENTATION_FULL_USER",Added
18,Class,ActivityInfo,Changes,Fields,"int SCREEN_ORIENTATION_LOCKED",Added
18,Class,ActivityInfo,Changes,Fields,"int SCREEN_ORIENTATION_USER_LANDSCAPE",Added
18,Class,ActivityInfo,Changes,Fields,"int SCREEN_ORIENTATION_USER_PORTRAIT",Added
18,Class,Allocation,Changes,Methods,"void copyFrom(Allocation)",Added
18,Class,Allocation,Changes,Methods,"void resize(int) Now deprecated.",Changed
18,Class,Allocation,Changes,Fields,"int USAGE_SHARED",Added
18,Class,Animator,Changes,Methods,"TimeInterpolator getInterpolator()",Added
18,Class,Application,Changes,Methods,"void registerOnProvideAssistDataListener(OnProvideAssistDataListener)",Added
18,Class,Application,Changes,Methods,"void unregisterOnProvideAssistDataListener(OnProvideAssistDataListener)",Added
18,Class,AudioEffect,Changes,Fields,"UUID EFFECT_TYPE_AEC",Added
18,Class,AudioEffect,Changes,Fields,"UUID EFFECT_TYPE_AGC",Added
18,Class,AudioEffect,Changes,Fields,"UUID EFFECT_TYPE_BASS_BOOST",Added
18,Class,AudioEffect,Changes,Fields,"UUID EFFECT_TYPE_ENV_REVERB",Added
18,Class,AudioEffect,Changes,Fields,"UUID EFFECT_TYPE_EQUALIZER",Added
18,Class,AudioEffect,Changes,Fields,"UUID EFFECT_TYPE_NS",Added
18,Class,AudioEffect,Changes,Fields,"UUID EFFECT_TYPE_PRESET_REVERB",Added
18,Class,AudioEffect,Changes,Fields,"UUID EFFECT_TYPE_VIRTUALIZER",Added
18,Class,AudioManager,Changes,Methods,"void registerMediaButtonEventReceiver(PendingIntent)",Added
18,Class,AudioManager,Changes,Methods,"void unregisterMediaButtonEventReceiver(PendingIntent)",Added
18,Class,BitmapDrawable,Changes,Constructors,"BitmapDrawable(Resources) Now deprecated.",Changed
18,Class,BitmapDrawable,Changes,Methods,"boolean hasAntiAlias()",Added
18,Class,BitmapDrawable,Changes,Methods,"boolean hasMipMap()",Added
18,Class,BitmapDrawable,Changes,Methods,"void setMipMap(boolean)",Added
18,Class,BluetoothAdapter,Changes,Methods,"boolean startLeScan(LeScanCallback)",Added
18,Class,BluetoothAdapter,Changes,Methods,"boolean startLeScan(UUID[], LeScanCallback)",Added
18,Class,BluetoothAdapter,Changes,Methods,"void stopLeScan(LeScanCallback)",Added
18,Class,BluetoothDevice,Changes,Methods,"BluetoothGatt connectGatt(Context, boolean, BluetoothGattCallback)",Added
18,Class,BluetoothDevice,Changes,Methods,"int getType()",Added
18,Class,BluetoothDevice,Changes,Fields,"int DEVICE_TYPE_CLASSIC",Added
18,Class,BluetoothDevice,Changes,Fields,"int DEVICE_TYPE_DUAL",Added
18,Class,BluetoothDevice,Changes,Fields,"int DEVICE_TYPE_LE",Added
18,Class,BluetoothDevice,Changes,Fields,"int DEVICE_TYPE_UNKNOWN",Added
18,Class,BluetoothProfile,Changes,Fields,"int GATT",Added
18,Class,BluetoothProfile,Changes,Fields,"int GATT_SERVER",Added
18,Class,Build.VERSION_CODES,Changes,Fields,"int JELLY_BEAN_MR2",Added
18,Class,Bundle,Changes,Methods,"IBinder getBinder(String)",Added
18,Class,Bundle,Changes,Methods,"void putBinder(String, IBinder)",Added
18,Class,CalendarContract.SyncColumns,Changes,Fields,"String MUTATORS",Added
18,Class,CellIdentityGsm,Changes,Methods,"int getPsc() Now deprecated.",Changed
18,Class,ConnectivityManager,Changes,Fields,"int DEFAULT_NETWORK_PREFERENCE Now deprecated.",Changed
18,Class,ContactsContract.ContactsColumns,Changes,Fields,"String CONTACT_LAST_UPDATED_TIMESTAMP",Added
18,Class,ContactsContract.Data,Changes,Fields,"String VISIBLE_CONTACTS_ONLY",Added
18,Class,ContactsContract.DataColumnsWithJoins,Changes,Interfaces,android.provider.ContactsContract.DataUsageStatColumns,Added
18,Class,ContactsContract.Intents,Changes,Fields,"String CONTACTS_DATABASE_CREATED",Added
18,Class,ContentProvider,Changes,Methods,"void dump(FileDescriptor, PrintWriter, String[])",Added
18,Class,Context,Changes,Fields,"String BLUETOOTH_SERVICE",Added
18,Class,DateFormat,Changes,Methods,"String getBestDateTimePattern(Locale, String)",Added
18,Class,DateFormat,Changes,Fields,"char AM_PM Now deprecated.",Changed
18,Class,DateFormat,Changes,Fields,"char CAPITAL_AM_PM Now deprecated.",Changed
18,Class,DateFormat,Changes,Fields,"char DATE Now deprecated.",Changed
18,Class,DateFormat,Changes,Fields,"char DAY Now deprecated.",Changed
18,Class,DateFormat,Changes,Fields,"char HOUR Now deprecated.",Changed
18,Class,DateFormat,Changes,Fields,"char HOUR_OF_DAY Now deprecated.",Changed
18,Class,DateFormat,Changes,Fields,"char MINUTE Now deprecated.",Changed
18,Class,DateFormat,Changes,Fields,"char MONTH Now deprecated.",Changed
