API_version,element_type,element_name,element_type_change_type,changed_element_type,changed_element_name,changed_element_modification_type
25,Package,android,Changes,Classes,R.attr,Changed
25,Package,android.app,Changes,Classes,ActivityManager,Changed
25,Package,android.app,Changes,Classes,Notification.Action.WearableExtender,Changed
25,Package,android.app,Changes,Classes,WallpaperInfo,Changed
25,Package,android.app.usage,Changes,Classes,UsageEvents.Event,Changed
25,Package,android.content,Changes,Classes,Context,Changed
25,Package,android.content.pm,Changes,Classes,LauncherApps.ShortcutQuery,Added
25,Package,android.content.pm,Changes,Classes,ShortcutInfo,Added
25,Package,android.content.pm,Changes,Classes,ShortcutInfo.Builder,Added
25,Package,android.content.pm,Changes,Classes,ShortcutManager,Added
25,Package,android.content.pm,Changes,Classes,LauncherApps,Changed
25,Package,android.content.pm,Changes,Classes,LauncherApps.Callback,Changed
25,Package,android.content.res,Changes,Classes,Resources,Changed
25,Package,android.media,Changes,Classes,AudioFormat,Changed
25,Package,android.os,Changes,Classes,Build.VERSION_CODES,Changed
25,Package,android.os,Changes,Classes,UserManager,Changed
25,Package,android.os.storage,Changes,Classes,StorageManager,Changed
25,Package,android.provider,Changes,Classes,CallLog.Calls,Changed
25,Package,android.provider,Changes,Classes,Settings.Global,Changed
25,Package,android.provider,Changes,Classes,VoicemailContract,Changed
25,Package,android.provider,Changes,Classes,VoicemailContract.Status,Changed
25,Package,android.telecom,Changes,Classes,Call,Changed
25,Package,android.telecom,Changes,Classes,Call.Callback,Changed
25,Package,android.telecom,Changes,Classes,Call.Details,Changed
25,Package,android.telecom,Changes,Classes,Conference,Changed
25,Package,android.telecom,Changes,Classes,Connection,Changed
25,Package,android.telecom,Changes,Classes,DisconnectCause,Changed
25,Package,android.telecom,Changes,Classes,InCallService,Changed
25,Package,android.telecom,Changes,Classes,RemoteConference.Callback,Changed
25,Package,android.telecom,Changes,Classes,RemoteConnection,Changed
25,Package,android.telecom,Changes,Classes,RemoteConnection.Callback,Changed
25,Package,android.telecom,Changes,Classes,TelecomManager,Changed
25,Package,android.telephony,Changes,Classes,CarrierConfigManager,Changed
25,Package,android.telephony,Changes,Classes,TelephonyManager,Changed
25,Package,android.util,Changes,Classes,DisplayMetrics,Changed
25,Package,android.view,Changes,Classes,KeyEvent,Changed
25,Package,android.view,Changes,Classes,View,Changed
25,Package,android.view,Changes,Classes,WindowManager.LayoutParams,Changed
25,Package,android.view.inputmethod,Changes,Classes,InputContentInfo,Added
25,Package,android.view.inputmethod,Changes,Classes,BaseInputConnection,Changed
25,Package,android.view.inputmethod,Changes,Classes,EditorInfo,Changed
25,Package,android.view.inputmethod,Changes,Interfaces,InputConnection,Changed
25,Package,android.view.inputmethod,Changes,Classes,InputConnectionWrapper,Changed
24,Package,android,Changes,Classes,Manifest.permission,Changed
24,Package,android,Changes,Classes,R.attr,Changed
24,Package,android,Changes,Classes,R.id,Changed
24,Package,android,Changes,Classes,R.style,Changed
24,Package,android.accessibilityservice,Changes,Classes,AccessibilityService. GestureResultCallback,Added
24,Package,android.accessibilityservice,Changes,Classes,AccessibilityService. MagnificationController,Added
24,Package,android.accessibilityservice,Changes,Interfaces,AccessibilityService. MagnificationController.OnMagnificationChangedListener,Added
24,Package,android.accessibilityservice,Changes,Classes,AccessibilityService. SoftKeyboardController,Added
24,Package,android.accessibilityservice,Changes,Interfaces,AccessibilityService. SoftKeyboardController.OnShowModeChangedListener,Added
24,Package,android.accessibilityservice,Changes,Classes,GestureDescription,Added
24,Package,android.accessibilityservice,Changes,Classes,GestureDescription.Builder,Added
24,Package,android.accessibilityservice,Changes,Classes,GestureDescription.StrokeDescription,Added
24,Package,android.accessibilityservice,Changes,Classes,AccessibilityService,Changed
24,Package,android.accessibilityservice,Changes,Classes,AccessibilityServiceInfo,Changed
24,Package,android.animation,Changes,Classes,Animator,Changed
24,Package,android.app,Changes,Interfaces,AlarmManager.OnAlarmListener,Added
24,Package,android.app,Changes,Classes,AutomaticZenRule,Added
24,Package,android.app,Changes,Classes,FragmentManagerNonConfig,Added
24,Package,android.app,Changes,Classes,Notification.DecoratedCustomViewStyle,Added
24,Package,android.app,Changes,Classes,Notification.DecoratedMediaCustomViewStyle,Added
24,Package,android.app,Changes,Classes,Notification.MessagingStyle,Added
24,Package,android.app,Changes,Classes,Notification.MessagingStyle. Message,Added
24,Package,android.app,Changes,Classes,Activity,Changed
24,Package,android.app,Changes,Classes,ActivityOptions,Changed
24,Package,android.app,Changes,Classes,AlarmManager,Changed
24,Package,android.app,Changes,Classes,DatePickerDialog,Changed
24,Package,android.app,Changes,Classes,DownloadManager,Changed
24,Package,android.app,Changes,Classes,DownloadManager.Request,Changed
24,Package,android.app,Changes,Classes,Fragment,Changed
24,Package,android.app,Changes,Classes,FragmentController,Changed
24,Package,android.app,Changes,Classes,FragmentHostCallback,Changed
24,Package,android.app,Changes,Classes,FragmentTransaction,Changed
24,Package,android.app,Changes,Classes,Instrumentation,Changed
24,Package,android.app,Changes,Classes,Notification,Changed
24,Package,android.app,Changes,Classes,Notification.Action,Changed
24,Package,android.app,Changes,Classes,Notification.Action.Builder,Changed
24,Package,android.app,Changes,Classes,Notification.Action.WearableExtender,Changed
24,Package,android.app,Changes,Classes,Notification.BigPictureStyle,Changed
24,Package,android.app,Changes,Classes,Notification.BigTextStyle,Changed
24,Package,android.app,Changes,Classes,Notification.Builder,Changed
24,Package,android.app,Changes,Classes,Notification.InboxStyle,Changed
24,Package,android.app,Changes,Classes,Notification.MediaStyle,Changed
24,Package,android.app,Changes,Classes,Notification.WearableExtender,Changed
24,Package,android.app,Changes,Classes,NotificationManager,Changed
24,Package,android.app,Changes,Classes,NotificationManager.Policy,Changed
24,Package,android.app,Changes,Classes,Service,Changed
24,Package,android.app,Changes,Classes,UiAutomation,Changed
24,Package,android.app,Changes,Classes,WallpaperManager,Changed
24,Package,android.app.admin,Changes,Classes,SecurityLog,Added
24,Package,android.app.admin,Changes,Classes,SecurityLog.SecurityEvent,Added
24,Package,android.app.admin,Changes,Classes,DeviceAdminReceiver,Changed
24,Package,android.app.admin,Changes,Classes,DevicePolicyManager,Changed
24,Package,android.app.assist,Changes,Classes,AssistContent,Changed
24,Package,android.app.backup,Changes,Classes,BackupAgent,Changed
24,Package,android.app.job,Changes,Classes,JobInfo.TriggerContentUri,Added
24,Package,android.app.job,Changes,Classes,JobInfo,Changed
24,Package,android.app.job,Changes,Classes,JobInfo.Builder,Changed
24,Package,android.app.job,Changes,Classes,JobParameters,Changed
24,Package,android.app.job,Changes,Classes,JobScheduler,Changed
24,Package,android.app.usage,Changes,Classes,NetworkStatsManager.UsageCallback,Added
24,Package,android.app.usage,Changes,Classes,NetworkStats.Bucket,Changed
24,Package,android.app.usage,Changes,Classes,NetworkStatsManager,Changed
24,Package,android.bluetooth,Changes,Classes,BluetoothGattCharacteristic,Changed
24,Package,android.bluetooth,Changes,Classes,BluetoothGattDescriptor,Changed
24,Package,android.bluetooth,Changes,Classes,BluetoothGattService,Changed
24,Package,android.content,Changes,Classes,ClipDescription,Changed
24,Package,android.content,Changes,Classes,ContentProviderClient,Changed
24,Package,android.content,Changes,Classes,ContentResolver,Changed
24,Package,android.content,Changes,Classes,Context,Changed
24,Package,android.content,Changes,Classes,ContextWrapper,Changed
24,Package,android.content,Changes,Classes,Intent,Changed
24,Package,android.content,Changes,Classes,SyncRequest.Builder,Changed
24,Package,android.content.pm,Changes,Classes,ActivityInfo.WindowLayout,Added
24,Package,android.content.pm,Changes,Classes,ActivityInfo,Changed
24,Package,android.content.pm,Changes,Classes,ApplicationInfo,Changed
24,Package,android.content.pm,Changes,Classes,ComponentInfo,Changed
24,Package,android.content.pm,Changes,Classes,FeatureInfo,Changed
24,Package,android.content.pm,Changes,Classes,LauncherApps.Callback,Changed
24,Package,android.content.pm,Changes,Classes,PackageInstaller.Session,Changed
24,Package,android.content.pm,Changes,Classes,PackageInstaller.SessionParams,Changed
24,Package,android.content.pm,Changes,Classes,PackageManager,Changed
