API_version,element_type,element_name,element_type_change_type,changed_element_type,changed_element_name,changed_element_modification_type
24,Package,android,CHANGES,Classes,Manifest.permission ,Changed
24,Package,android,CHANGES,Classes,R.attr ,Changed
24,Package,android,CHANGES,Classes,R.id ,Changed
24,Package,android,CHANGES,Classes,R.style ,Changed
24,Package,android.accessibilityservice,CHANGES,Classes and Interfaces,AccessibilityService.GestureResultCallback ,Added
24,Package,android.accessibilityservice,CHANGES,Classes and Interfaces,AccessibilityService.MagnificationController ,Added
24,Package,android.accessibilityservice,CHANGES,Classes and Interfaces,AccessibilityService.MagnificationController.OnMagnificationChangedListener ,Added
24,Package,android.accessibilityservice,CHANGES,Classes and Interfaces,AccessibilityService.SoftKeyboardController ,Added
24,Package,android.accessibilityservice,CHANGES,Classes and Interfaces,AccessibilityService.SoftKeyboardController.OnShowModeChangedListener ,Added
24,Package,android.accessibilityservice,CHANGES,Classes and Interfaces,GestureDescription ,Added
24,Package,android.accessibilityservice,CHANGES,Classes and Interfaces,GestureDescription.Builder ,Added
24,Package,android.accessibilityservice,CHANGES,Classes and Interfaces,GestureDescription.StrokeDescription ,Added
24,Package,android.accessibilityservice,CHANGES,Classes,AccessibilityService ,Changed
24,Package,android.accessibilityservice,CHANGES,Classes,AccessibilityServiceInfo ,Changed
24,Package,android.animation,CHANGES,Classes,Animator ,Changed
24,Package,android.app,CHANGES,Classes and Interfaces,AlarmManager.OnAlarmListener ,Added
24,Package,android.app,CHANGES,Classes and Interfaces,AutomaticZenRule ,Added
24,Package,android.app,CHANGES,Classes and Interfaces,FragmentManagerNonConfig ,Added
24,Package,android.app,CHANGES,Classes and Interfaces,Notification.DecoratedCustomViewStyle ,Added
24,Package,android.app,CHANGES,Classes and Interfaces,Notification.DecoratedMediaCustomViewStyle ,Added
24,Package,android.app,CHANGES,Classes and Interfaces,Notification.MessagingStyle ,Added
24,Package,android.app,CHANGES,Classes and Interfaces,Notification.MessagingStyle.Message ,Added
24,Package,android.app,CHANGES,Classes,Activity ,Changed
24,Package,android.app,CHANGES,Classes,ActivityOptions ,Changed
24,Package,android.app,CHANGES,Classes,AlarmManager ,Changed
24,Package,android.app,CHANGES,Classes,DatePickerDialog ,Changed
24,Package,android.app,CHANGES,Classes,DownloadManager ,Changed
24,Package,android.app,CHANGES,Classes,DownloadManager.Request ,Changed
24,Package,android.app,CHANGES,Classes,Fragment ,Changed
24,Package,android.app,CHANGES,Classes,FragmentController ,Changed
24,Package,android.app,CHANGES,Classes,FragmentHostCallback ,Changed
24,Package,android.app,CHANGES,Classes,FragmentTransaction ,Changed
24,Package,android.app,CHANGES,Classes,Instrumentation ,Changed
24,Package,android.app,CHANGES,Classes,Notification ,Changed
24,Package,android.app,CHANGES,Classes,Notification.Action ,Changed
24,Package,android.app,CHANGES,Classes,Notification.Action.Builder ,Changed
24,Package,android.app,CHANGES,Classes,Notification.Action.WearableExtender ,Changed
24,Package,android.app,CHANGES,Classes,Notification.BigPictureStyle ,Changed
24,Package,android.app,CHANGES,Classes,Notification.BigTextStyle ,Changed
24,Package,android.app,CHANGES,Classes,Notification.Builder ,Changed
24,Package,android.app,CHANGES,Classes,Notification.InboxStyle ,Changed
24,Package,android.app,CHANGES,Classes,Notification.MediaStyle ,Changed
24,Package,android.app,CHANGES,Classes,Notification.WearableExtender ,Changed
24,Package,android.app,CHANGES,Classes,NotificationManager ,Changed
24,Package,android.app,CHANGES,Classes,NotificationManager.Policy ,Changed
24,Package,android.app,CHANGES,Classes,Service ,Changed
24,Package,android.app,CHANGES,Classes,UiAutomation ,Changed
24,Package,android.app,CHANGES,Classes,WallpaperManager ,Changed
24,Package,android.app.admin,CHANGES,Classes,SecurityLog ,Added
24,Package,android.app.admin,CHANGES,Classes,SecurityLog.SecurityEvent ,Added
24,Package,android.app.admin,CHANGES,Classes,DeviceAdminReceiver ,Changed
24,Package,android.app.admin,CHANGES,Classes,DevicePolicyManager ,Changed
24,Package,android.app.assist,CHANGES,Classes,AssistContent ,Changed
