API_version,element_type,element_name,element_type_change_type,changed_element_type,changed_element_name,changed_element_modification_type
18,Package,android,Changes,Classes,Manifest.permission,Changed
18,Package,android,Changes,Classes,Manifest.permission_group,Changed
18,Package,android,Changes,Classes,R.attr,Changed
18,Package,android,Changes,Classes,R.style,Changed
18,Package,android.accessibilityservice,Changes,Classes,AccessibilityService,Changed
18,Package,android.accessibilityservice,Changes,Classes,AccessibilityServiceInfo,Changed
18,Package,android.accounts,Changes,Classes,AbstractAccountAuthenticator,Changed
18,Package,android.accounts,Changes,Classes,AccountManager,Changed
18,Package,android.animation,Changes,Classes,RectEvaluator,Added
18,Package,android.animation,Changes,Classes,Animator,Changed
18,Package,android.animation,Changes,Classes,ObjectAnimator,Changed
18,Package,android.animation,Changes,Classes,ValueAnimator,Changed
18,Package,android.app,Changes,Interfaces,Application.OnProvideAssistDataListener,Added
18,Package,android.app,Changes,Classes,UiAutomation,Added
18,Package,android.app,Changes,Interfaces,UiAutomation.AccessibilityEventFilter,Added
18,Package,android.app,Changes,Interfaces,UiAutomation.OnAccessibilityEventListener,Added
18,Package,android.app,Changes,Classes,ActionBar,Changed
18,Package,android.app,Changes,Classes,Activity,Changed
18,Package,android.app,Changes,Classes,Application,Changed
18,Package,android.app,Changes,Classes,Instrumentation,Changed
18,Package,android.app.admin,Changes,Classes,DevicePolicyManager,Changed
18,Package,android.bluetooth,Changes,Interfaces,BluetoothAdapter.LeScanCallback,Added
18,Package,android.bluetooth,Changes,Classes,BluetoothGatt,Added
18,Package,android.bluetooth,Changes,Classes,BluetoothGattCallback,Added
18,Package,android.bluetooth,Changes,Classes,BluetoothGattCharacteristic,Added
18,Package,android.bluetooth,Changes,Classes,BluetoothGattDescriptor,Added
18,Package,android.bluetooth,Changes,Classes,BluetoothGattServer,Added
18,Package,android.bluetooth,Changes,Classes,BluetoothGattServerCallback,Added
18,Package,android.bluetooth,Changes,Classes,BluetoothGattService,Added
18,Package,android.bluetooth,Changes,Classes,BluetoothManager,Added
18,Package,android.bluetooth,Changes,Classes,BluetoothAdapter,Changed
18,Package,android.bluetooth,Changes,Classes,BluetoothDevice,Changed
18,Package,android.bluetooth,Changes,Interfaces,BluetoothProfile,Changed
18,Package,android.content,Changes,Classes,RestrictionEntry,Added
18,Package,android.content,Changes,Classes,ContentProvider,Changed
18,Package,android.content,Changes,Classes,Context,Changed
18,Package,android.content,Changes,Classes,Intent,Changed
18,Package,android.content,Changes,Classes,Loader,Changed
18,Package,android.content.pm,Changes,Classes,ActivityInfo,Changed
18,Package,android.content.pm,Changes,Classes,PackageManager,Changed
18,Package,android.graphics,Changes,Classes,Paint,Changed
18,Package,android.graphics,Changes,Classes,Picture,Changed
18,Package,android.graphics.drawable,Changes,Classes,BitmapDrawable,Changed
18,Package,android.hardware,Changes,Classes,TriggerEvent,Added
18,Package,android.hardware,Changes,Classes,TriggerEventListener,Added
18,Package,android.hardware,Changes,Classes,Sensor,Changed
